n,L,K,p.value,seed
500,175,50,0.0196078431372549,11
500,175,50,0.058823529411764705,12
500,175,50,0.0196078431372549,13
500,175,50,0.17647058823529413,14
500,175,50,0.0196078431372549,15
500,175,50,0.0196078431372549,16
500,175,50,0.0196078431372549,17
500,175,50,0.0196078431372549,18
500,175,50,0.0196078431372549,19
500,175,50,0.0196078431372549,20
500,175,50,0.058823529411764705,21
500,175,50,0.09803921568627451,22
500,175,50,0.0196078431372549,23
500,175,50,0.0392156862745098,24
500,175,50,0.0196078431372549,25
500,175,50,0.29411764705882354,26
500,175,50,0.0392156862745098,27
500,175,50,0.0196078431372549,28
500,175,50,0.0196078431372549,29
500,175,50,0.0196078431372549,30
500,175,50,0.0392156862745098,31
500,175,50,0.0196078431372549,32
500,175,50,0.0392156862745098,33
500,175,50,0.0196078431372549,34
500,175,50,0.0196078431372549,35
500,175,50,0.0392156862745098,36
500,175,50,0.058823529411764705,37
500,175,50,0.0392156862745098,38
500,175,50,0.0196078431372549,39
500,175,50,0.0196078431372549,40
500,175,50,0.0196078431372549,41
500,175,50,0.0392156862745098,42
500,175,50,0.0196078431372549,43
500,175,50,0.13725490196078433,44
500,175,50,0.0196078431372549,45
500,175,50,0.0196078431372549,46
500,175,50,0.0196078431372549,47
500,175,50,0.0392156862745098,48
500,175,50,0.0392156862745098,49
500,175,50,0.0392156862745098,50
500,200,50,0.0196078431372549,1
500,200,50,0.0196078431372549,2
500,200,50,0.0196078431372549,3
500,200,50,0.0196078431372549,4
500,200,50,0.0196078431372549,5
500,200,50,0.0196078431372549,6
500,200,50,0.0196078431372549,7
500,200,50,0.0392156862745098,8
500,200,50,0.0196078431372549,9
500,200,50,0.0196078431372549,10
500,200,50,0.0196078431372549,11
500,200,50,0.0196078431372549,12
500,200,50,0.0196078431372549,13
500,200,50,0.0392156862745098,14
500,200,50,0.0196078431372549,15
500,200,50,0.0196078431372549,16
500,200,50,0.0196078431372549,17
500,200,50,0.0196078431372549,18
500,200,50,0.0196078431372549,19
500,200,50,0.0196078431372549,20
500,200,50,0.0196078431372549,21
500,200,50,0.0392156862745098,22
500,200,50,0.0196078431372549,23
500,200,50,0.0392156862745098,24
500,200,50,0.0196078431372549,25
500,200,50,0.1568627450980392,26
500,200,50,0.0392156862745098,27
500,200,50,0.0196078431372549,28
500,200,50,0.0196078431372549,29
500,200,50,0.0196078431372549,30
500,200,50,0.0196078431372549,31
500,200,50,0.0196078431372549,32
500,200,50,0.0196078431372549,33
500,200,50,0.0196078431372549,34
500,200,50,0.0196078431372549,35
500,200,50,0.0196078431372549,36
500,200,50,0.0196078431372549,37
500,200,50,0.0196078431372549,38
500,200,50,0.0196078431372549,39
500,200,50,0.0196078431372549,40
500,200,50,0.0196078431372549,41
500,200,50,0.0196078431372549,42
500,200,50,0.0196078431372549,43
500,200,50,0.21568627450980393,44
500,200,50,0.0196078431372549,45
500,200,50,0.0196078431372549,46
500,200,50,0.0196078431372549,47
500,200,50,0.0196078431372549,48
500,200,50,0.0196078431372549,49
500,200,50,0.0196078431372549,50
500,225,50,0.0196078431372549,1
500,225,50,0.0196078431372549,2
500,225,50,0.0196078431372549,3
500,225,50,0.0196078431372549,4
500,225,50,0.0196078431372549,5
500,225,50,0.0196078431372549,6
500,225,50,0.0196078431372549,7
500,225,50,0.0196078431372549,8
500,225,50,0.0196078431372549,9
500,225,50,0.0196078431372549,10
500,225,50,0.0196078431372549,11
500,225,50,0.0196078431372549,12
500,225,50,0.0196078431372549,13
500,225,50,0.0196078431372549,14
500,225,50,0.0196078431372549,15
500,225,50,0.0196078431372549,16
500,225,50,0.0196078431372549,17
500,225,50,0.0196078431372549,18
500,225,50,0.0196078431372549,19
500,225,50,0.0196078431372549,20
500,225,50,0.0196078431372549,21
500,225,50,0.0196078431372549,22
500,225,50,0.0196078431372549,23
500,225,50,0.0196078431372549,24
500,225,50,0.0196078431372549,25
500,225,50,0.058823529411764705,26
500,225,50,0.0196078431372549,27
500,225,50,0.0196078431372549,28
500,225,50,0.0196078431372549,29
500,225,50,0.0196078431372549,30
500,225,50,0.0196078431372549,31
500,225,50,0.0196078431372549,32
500,225,50,0.0196078431372549,33
500,225,50,0.0196078431372549,34
500,225,50,0.0196078431372549,35
500,225,50,0.0196078431372549,36
500,225,50,0.0196078431372549,37
500,225,50,0.0196078431372549,38
500,225,50,0.0196078431372549,39
500,225,50,0.0196078431372549,40
500,225,50,0.0196078431372549,41
500,225,50,0.0196078431372549,42
500,225,50,0.0196078431372549,43
500,225,50,0.0196078431372549,44
500,225,50,0.0196078431372549,45
500,225,50,0.0196078431372549,46
500,225,50,0.0196078431372549,47
500,225,50,0.0196078431372549,48
500,225,50,0.0196078431372549,49
500,225,50,0.0196078431372549,50
500,250,50,0.0196078431372549,1
500,250,50,0.0196078431372549,2
500,250,50,0.0196078431372549,3
500,250,50,0.0196078431372549,4
500,250,50,0.0196078431372549,5
500,250,50,0.0196078431372549,6
500,250,50,0.0196078431372549,7
500,250,50,0.0196078431372549,8
500,250,50,0.0196078431372549,9
500,250,50,0.0196078431372549,10
500,250,50,0.0196078431372549,11
500,250,50,0.0196078431372549,12
500,250,50,0.0196078431372549,13
500,250,50,0.0196078431372549,14
500,250,50,0.0196078431372549,15
500,250,50,0.0196078431372549,16
500,250,50,0.0196078431372549,17
500,250,50,0.0196078431372549,18
500,250,50,0.0196078431372549,19
500,250,50,0.0196078431372549,20
500,250,50,0.0196078431372549,21
500,250,50,0.0196078431372549,22
500,250,50,0.0196078431372549,23
500,250,50,0.0196078431372549,24
500,250,50,0.0196078431372549,25
500,250,50,0.0196078431372549,26
500,250,50,0.0196078431372549,27
500,250,50,0.0196078431372549,28
500,250,50,0.0196078431372549,29
500,250,50,0.0196078431372549,30
500,250,50,0.0196078431372549,31
500,250,50,0.0196078431372549,32
500,250,50,0.0196078431372549,33
500,250,50,0.0196078431372549,34
500,250,50,0.0196078431372549,35
500,250,50,0.0196078431372549,36
500,250,50,0.0196078431372549,37
500,250,50,0.0196078431372549,38
500,250,50,0.0196078431372549,39
500,250,50,0.0196078431372549,40
500,250,50,0.0196078431372549,41
500,250,50,0.0196078431372549,42
500,250,50,0.0196078431372549,43
500,250,50,0.0196078431372549,44
500,250,50,0.0196078431372549,45
500,250,50,0.0196078431372549,46
500,250,50,0.0196078431372549,47
500,250,50,0.0196078431372549,48
500,250,50,0.0196078431372549,49
500,250,50,0.0196078431372549,50
