n,L,K,p.value,epsilon,seed
200,25,100,0.009900990099009901,0.35000000000000003,20
200,25,100,0.009900990099009901,0.4,20
200,25,100,0.009900990099009901,0.45,20
200,25,100,0.43564356435643564,0,21
200,25,100,0.0891089108910891,0.05,21
200,25,100,0.019801980198019802,0.09999999999999999,21
200,25,100,0.019801980198019802,0.15000000000000002,21
200,25,100,0.009900990099009901,0.2,21
200,25,100,0.009900990099009901,0.25,21
200,25,100,0.009900990099009901,0.3,21
200,25,100,0.009900990099009901,0.35000000000000003,21
200,25,100,0.009900990099009901,0.4,21
200,25,100,0.009900990099009901,0.45,21
200,25,100,0.12871287128712872,0,22
200,25,100,0.04950495049504951,0.05,22
200,25,100,0.04950495049504951,0.09999999999999999,22
200,25,100,0.0297029702970297,0.15000000000000002,22
200,25,100,0.019801980198019802,0.2,22
200,25,100,0.019801980198019802,0.25,22
200,25,100,0.009900990099009901,0.3,22
200,25,100,0.009900990099009901,0.35000000000000003,22
200,25,100,0.009900990099009901,0.4,22
200,25,100,0.009900990099009901,0.45,22
200,25,100,0.6138613861386139,0,23
200,25,100,0.5544554455445545,0.05,23
200,25,100,0.0891089108910891,0.09999999999999999,23
200,25,100,0.04950495049504951,0.15000000000000002,23
200,25,100,0.04950495049504951,0.2,23
200,25,100,0.04950495049504951,0.25,23
200,25,100,0.019801980198019802,0.3,23
200,25,100,0.019801980198019802,0.35000000000000003,23
200,25,100,0.009900990099009901,0.4,23
200,25,100,0.009900990099009901,0.45,23
200,25,100,0.8217821782178217,0,24
200,25,100,0.0594059405940594,0.05,24
200,25,100,0.0594059405940594,0.09999999999999999,24
200,25,100,0.009900990099009901,0.15000000000000002,24
200,25,100,0.009900990099009901,0.2,24
200,25,100,0.009900990099009901,0.25,24
200,25,100,0.009900990099009901,0.3,24
200,25,100,0.009900990099009901,0.35000000000000003,24
200,25,100,0.009900990099009901,0.4,24
200,25,100,0.009900990099009901,0.45,24
200,25,100,0.09900990099009901,0,25
200,25,100,0.09900990099009901,0.05,25
200,25,100,0.0297029702970297,0.09999999999999999,25
200,25,100,0.009900990099009901,0.15000000000000002,25
200,25,100,0.009900990099009901,0.2,25
200,25,100,0.009900990099009901,0.25,25
200,25,100,0.009900990099009901,0.3,25
200,25,100,0.009900990099009901,0.35000000000000003,25
200,25,100,0.009900990099009901,0.4,25
200,25,100,0.009900990099009901,0.45,25
200,25,100,0.22772277227722773,0,26
200,25,100,0.019801980198019802,0.05,26
200,25,100,0.019801980198019802,0.09999999999999999,26
200,25,100,0.009900990099009901,0.15000000000000002,26
200,25,100,0.009900990099009901,0.2,26
200,25,100,0.009900990099009901,0.25,26
200,25,100,0.009900990099009901,0.3,26
200,25,100,0.009900990099009901,0.35000000000000003,26
200,25,100,0.009900990099009901,0.4,26
200,25,100,0.009900990099009901,0.45,26
200,25,100,1,0,27
200,25,100,0.36633663366336633,0.05,27
200,25,100,0.06930693069306931,0.09999999999999999,27
200,25,100,0.06930693069306931,0.15000000000000002,27
200,25,100,0.0297029702970297,0.2,27
200,25,100,0.0297029702970297,0.25,27
200,25,100,0.009900990099009901,0.3,27
200,25,100,0.009900990099009901,0.35000000000000003,27
200,25,100,0.009900990099009901,0.4,27
200,25,100,0.009900990099009901,0.45,27
200,25,100,0.7821782178217822,0,28
200,25,100,0.06930693069306931,0.05,28
200,25,100,0.019801980198019802,0.09999999999999999,28
200,25,100,0.019801980198019802,0.15000000000000002,28
200,25,100,0.009900990099009901,0.2,28
200,25,100,0.009900990099009901,0.25,28
200,25,100,0.009900990099009901,0.3,28
